edgeID,startNode,endNode
GHALL01402_GHALL01202,GHALL01402,GHALL01202
CHALL002L2_CREST001L2,CHALL002L2,CREST001L2
DHALL00702_DHALL00802,DHALL00702,DHALL00802
DHALL02302_DHALL02402,DHALL02302,DHALL02402
GHALL009L2_GHALL010L2,GHALL009L2,GHALL010L2
BHALL01102_BHALL01202,BHALL01102,BHALL01202
bHALL00302_HHALL00502,bHALL00302,HHALL00502
ALABS00103_AHALL00203,ALABS00103,AHALL00203
AHALL00502_AHALL00402,AHALL00502,AHALL00402
CHALL010L1_CREST003L1,CHALL010L1,CREST003L1
DHALL03602_DSTAI00602,DHALL03602,DSTAI00602
WELEV00KL1_WELEV00K03,WELEV00KL1,WELEV00K03
WELEV00KL1_WELEV00K02,WELEV00KL1,WELEV00K02
BDEPT00302_WELEV00J02,BDEPT00302,WELEV00J02
IHALL01003_IHALL00903,IHALL01003,IHALL00903
WELEV00K02_WELEV00K03,WELEV00K02,WELEV00K03
HHALL00803_HHALL00903,HHALL00803,HHALL00903
BDEPT00202_BHALL03402,BDEPT00202,BHALL03402
GHALL007L2_GHALL009L2,GHALL007L2,GHALL009L2
WELEV00ML2_WELEV00ML1,WELEV00ML2,WELEV00ML1
